datetime,open,high,low,close,volume
2024-11-08 15:00:00,2691.519,2692.917,2683.403,2687.576,17575
2024-11-08 16:00:00,2687.523,2689.307,2682.837,2683.356,10857
2024-11-08 17:00:00,2683.409,2688.667,2683.409,2687.855,8535
2024-11-08 18:00:00,2687.857,2688.847,2683.871,2684.929,7139
2024-11-08 19:00:00,2684.97,2687.51,2683.262,2687.081,5551
2024-11-08 20:00:00,2687.047,2688.573,2684.972,2685.164,5554
2024-11-08 21:00:00,2685.122,2685.811,2683.007,2684.782,5219
2024-11-10 23:00:00,2683.185,2685.675,2681.55,2685.629,3698
2024-11-11 00:00:00,2685.662,2686.165,2682.577,2684.011,4226
2024-11-11 01:00:00,2683.985,2684.888,2671.854,2673.06,13523
2024-11-11 02:00:00,2673.089,2675.223,2666.468,2671.925,9499
2024-11-11 03:00:00,2671.961,2671.97,2668.009,2670.293,5622
2024-11-11 04:00:00,2670.296,2672.391,2668.85,2672.168,5180
2024-11-11 05:00:00,2672.184,2674.306,2666.952,2669.251,7256
2024-11-11 06:00:00,2669.261,2674.087,2668.397,2673.221,6526
2024-11-11 07:00:00,2673.253,2674.106,2668.842,2669.585,7336
2024-11-11 08:00:00,2669.54,2671.737,2667.573,2669.582,8052
2024-11-11 09:00:00,2669.547,2670.843,2663.861,2666.85,8595
2024-11-11 10:00:00,2666.813,2675.401,2660.905,2662.008,8931
2024-11-11 11:00:00,2661.968,2667.029,2659.016,2662.671,9250
2024-11-11 12:00:00,2662.696,2663.256,2656.7,2657.345,8726
2024-11-11 13:00:00,2657.306,2657.589,2634.277,2635.611,23137
2024-11-11 14:00:00,2635.569,2635.753,2617.728,2622.482,27363
2024-11-11 15:00:00,2622.507,2626.314,2613.446,2614.623,16200
2024-11-11 16:00:00,2614.582,2618.159,2612.619,2615.267,11089
2024-11-11 17:00:00,2615.243,2616.951,2611.431,2612.625,7931
2024-11-11 18:00:00,2612.588,2619.401,2610.554,2618.924,6569
2024-11-11 19:00:00,2618.962,2620.696,2617.814,2619.295,5250
2024-11-11 20:00:00,2619.34,2626.211,2619.257,2622.067,5248
2024-11-11 21:00:00,2622.032,2623.15,2619.3,2619.637,2854
2024-11-11 23:00:00,2620.179,2624.148,2619.791,2624.062,2798
2024-11-12 00:00:00,2624.051,2625.304,2622.219,2624.059,4437
2024-11-12 01:00:00,2624.108,2627.21,2619.143,2624.099,10412
2024-11-12 02:00:00,2624.069,2625.483,2620.429,2622.091,8111
2024-11-12 03:00:00,2622.072,2623.813,2618.741,2618.948,5494
2024-11-12 04:00:00,2618.899,2619.123,2615.582,2617.718,5652
2024-11-12 05:00:00,2617.764,2618.189,2605.365,2606.884,11549
2024-11-12 06:00:00,2606.847,2610.151,2603.445,2607.953,11887
2024-11-12 07:00:00,2607.91,2609.025,2595.188,2598.297,14110
2024-11-12 08:00:00,2598.333,2606.535,2598.143,2600.665,12042
2024-11-12 09:00:00,2600.591,2600.812,2590.782,2593.321,11905
2024-11-12 10:00:00,2593.327,2598.636,2589.681,2596.666,10183
2024-11-12 11:00:00,2596.629,2599.238,2592.696,2597.869,11517
2024-11-12 12:00:00,2597.844,2607.123,2597.844,2605.228,15161
2024-11-12 13:00:00,2605.259,2616.409,2604.421,2611.551,18495
2024-11-12 14:00:00,2611.59,2617.092,2608.879,2610.453,17776
2024-11-12 15:00:00,2610.388,2611.812,2597.411,2598.461,16804
2024-11-12 16:00:00,2598.503,2604.243,2597.836,2600.848,12978
2024-11-12 17:00:00,2600.823,2601.173,2592.454,2597.455,10090
2024-11-12 18:00:00,2597.499,2602.149,2596.44,2599.207,8025
2024-11-12 19:00:00,2599.241,2601.418,2597.951,2598.215,5062
2024-11-12 20:00:00,2598.19,2601.414,2595.136,2599.809,6049
2024-11-12 21:00:00,2599.845,2600.782,2597.222,2598.368,3434
2024-11-12 23:00:00,2598.097,2599.824,2597.673,2598.976,2322
2024-11-13 00:00:00,2599.034,2599.967,2598.026,2599.372,3500
2024-11-13 01:00:00,2599.413,2611.255,2599.413,2608.09,11039
2024-11-13 02:00:00,2608.13,2612.616,2605.178,2612.109,7661
2024-11-13 03:00:00,2612.079,2613.357,2606.443,2611.571,6606
2024-11-13 04:00:00,2611.603,2612.429,2606.062,2606.243,5345
2024-11-13 05:00:00,2606.303,2607.972,2603.514,2605.823,6601
2024-11-13 06:00:00,2605.792,2607.485,2604.218,2605.458,6990
2024-11-13 07:00:00,2605.418,2607.47,2604.275,2606.139,6212
2024-11-13 08:00:00,2606.19,2610.731,2601.055,2607.685,9687
2024-11-13 09:00:00,2607.646,2611.689,2607.324,2608.69,7404
2024-11-13 10:00:00,2608.647,2610.455,2606.979,2609.082,6049
2024-11-13 11:00:00,2609.076,2611.683,2605.804,2610.807,6040
2024-11-13 12:00:00,2610.872,2612.766,2608.862,2609.716,7055
2024-11-13 13:00:00,2609.75,2618.865,2607.17,2612.343,22282
2024-11-13 14:00:00,2612.247,2616.414,2601.051,2602.055,22560
2024-11-13 15:00:00,2602.031,2606.887,2593.588,2605.409,22738
2024-11-13 16:00:00,2605.365,2605.999,2584.731,2585.76,17115
2024-11-13 17:00:00,2585.854,2586.827,2577.531,2583.433,14188
2024-11-13 18:00:00,2583.388,2585.528,2579.537,2582.721,10272
2024-11-13 19:00:00,2582.683,2584.94,2580.576,2581.028,6799
2024-11-13 20:00:00,2580.995,2581.211,2572.95,2573.854,7972
2024-11-13 21:00:00,2573.807,2577.109,2572.613,2573.088,3692
2024-11-13 23:00:00,2571.972,2581.434,2569.238,2571.013,9213
2024-11-14 00:00:00,2571.036,2574.815,2569.636,2572.481,5047
2024-11-14 01:00:00,2572.482,2572.999,2561.524,2562.594,13874
2024-11-14 02:00:00,2562.557,2564.607,2558.899,2560.62,9053
2024-11-14 03:00:00,2560.589,2565.114,2559.901,2560.732,6237
2024-11-14 04:00:00,2560.742,2565.28,2559.264,2565.154,5206
2024-11-14 05:00:00,2565.158,2565.158,2555.304,2558.599,8350
2024-11-14 06:00:00,2558.567,2560.533,2551.917,2555.02,9289
2024-11-14 07:00:00,2555.061,2558.971,2550.385,2557.038,10244
2024-11-14 08:00:00,2556.996,2559.806,2554.487,2556.174,9302
2024-11-14 09:00:00,2556.132,2558.376,2536.771,2543.55,15183
2024-11-14 10:00:00,2543.592,2548.046,2539.053,2547.04,10497
